album_slug,album_zh,region,seq,new_filename,original_filename,taken_at,caption,poi,road,quarter,district,lat,lon,width,height,bytes,status
_duplicates/tsim-sha-tsui,,,0,IMG_2869.HEIC,IMG_2869.HEIC,2024-07-20 19:34:57,,,星光大道,,尖沙咀,22.293158,114.17298,4032,3024,1701310,duplicate
_duplicates/braemar-hill,,,0,IMG_3402.HEIC,IMG_3402.HEIC,2024-07-25 18:56:56,金督驰马径,金督驰马径,金督驰马径,炮台山,东区,22.279253,114.198433,4032,3024,1427201,duplicate
_duplicates/braemar-hill,,,0,IMG_3492.HEIC,IMG_3492.HEIC,2024-07-25 19:14:38,,,金督驰马径,炮台山,东区,22.278478,114.198775,4032,3024,1514365,duplicate
_duplicates/braemar-hill,,,0,IMG_3494.HEIC,IMG_3494.HEIC,2024-07-25 19:15:49,,,金督驰马径,炮台山,东区,22.278463,114.198883,3933,2949,1145516,duplicate
_duplicates/braemar-hill,,,0,IMG_3513.HEIC,IMG_3513.HEIC,2024-07-25 19:17:30,,,金督驰马径,炮台山,东区,22.278433,114.198775,3993,2995,1074810,duplicate
_duplicates/braemar-hill,,,0,IMG_3518.HEIC,IMG_3518.HEIC,2024-07-25 19:17:42,,,金督驰马径,炮台山,东区,22.278445,114.198762,4032,3024,1031092,duplicate
_duplicates/braemar-hill,,,0,IMG_3560.HEIC,IMG_3560.HEIC,2024-07-25 19:21:59,,,金督驰马径,炮台山,东区,22.27845,114.19873,4008,3006,1599826,duplicate
_duplicates/braemar-hill,,,0,IMG_3578.HEIC,IMG_3578.HEIC,2024-07-25 19:24:54,,,金督驰马径,炮台山,东区,22.278437,114.198762,4032,3024,1567219,duplicate
_duplicates/braemar-hill,,,0,IMG_3612.HEIC,IMG_3612.HEIC,2024-07-25 19:27:46,,,金督驰马径,炮台山,东区,22.278442,114.19877,4032,3024,1530109,duplicate
_duplicates/yaumatei-mongkok,,,0,IMG_6961.JPG,IMG_6961.JPG,2025-10-16 18:19:58,香港理工大学西九龙校园,香港理工大学西九龙校园,海庭道,渡船角,油麻地,22.312867,114.165055,4032,3024,3002561,duplicate
